id,name,price,brand,code,imag
1756,Air Max 90 x Undefeated Black,451,Nike,CQ2289 002,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-max-90-undefeated-black-01-cq2289_002.jpg
1757,Air Jordan 5 Retro Low Golf Fire Red,263,Jordan,CU4523 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-5-Retro-Low-Golf-Fire-Red-01-CU4523_100.jpg
1758,Chuck 70 High x Fear of God Black,150,Converse,167954C,https://sneakercon-prodg.s3.amazonaws.com/pictures/Converse-chuck-70-high-x-fear-of-god-black-01-167954C.jpg
1759,Futurecraft 4D Black,550,Adidas,B75942,https://sneakercon-prod.s3.amazonaws.com/pictures/adidas-future-craft-4D-black-01-B75942.jpg
1760,PG 4 Black Metallic Dark Grey,95,Nike,CD5079 005,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-PG-4-Black-Metallic-Dark-Grey-01-CD5079_005.jpg
1761,Air Jordan 1 High Retro GS Black Hyper Jade,199,Jordan,705300 022,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-1-high-gs-rare-air-01-705300_022.jpg
1762,Matthew M. Williams x Zoom 004 Stone,760,Nike,CU0676 200,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Matthew-M.-Williams-x-Zoom-004-Stone-01-CU0676_200.jpg
1763,Air Jordan 3 Retro JAPAN TEXT EXCLUSIVE Fire Red Denim Japan,275,Jordan,CZ6433 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-3-Retro-SE-T-CO.JP-Fire-Red-Denim-Japan-01-CZ6433_100.jpg
1764,NMD Human Race Black,200,Adidas,GY0093,https://sneakercon-prodg.s3.amazonaws.com/pictures/adidas-NMD-Human-Race-black-01-GY0093.jpg
1765,Air Max 270 React Iron Grey University Red,90,Nike,CI3866 002,https://sneakercon-prodg.s3.amazonaws.com/pictures/Nike-Air-Max-270-React-Black-Iron-Grey-University-Red-01-CI3866_002.jpg
1766,Rubber Dunk Off-White Toddler Green Strike,125,Nike,CW7444 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Rubber-Dunk-x-OFF-WHITE-TD-Green-Strike-01-CW7444_001.jpg
1767,NMD Human Race Sesame,200,Adidas,Q46468,
1768,PG 3 Paulette,90,Nike,AO2607 901,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-pg-3-paulette-01-AO2607_901.jpg
1769,Air Jordan 1 High OG WMNS Fearless,137,Jordan,CU6690 006,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-1-high-og-wmns-fearless-01-CU6690_006.jpg
1770,KD 12 EYBL,233,Nike,CK1195 300,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-kd-12-eybl-01-CK1195_300.jpg
1771,Air Jordan 1 Low Pine Green,217,Jordan,553558 301,https://sneakercon-prodg.s3.amazonaws.com/pictures/jordan-air-jordan-1-low-pine-green-01-553558_301.jpg
